Team,GP,MPG,PPG,FMG,FGA,FG_prc,Three_PM,Three_PA,Three_P_prc,FTM,FTA,FT_prc,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Sacramento Kings,82,48.4,120.7,43.6,88.2,0.494,13.8,37.3,0.369,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7,3.4,13.5,19.7
Golden State Warriors,82,48.4,118.9,43.1,90.2,0.479,16.6,43.2,0.385,16,20.2,0.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4
Atlanta Hawks,82,48.4,118.4,44.6,92.4,0.483,10.8,30.5,0.352,18.5,22.6,0.818,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8
Boston Celtics,82,48.7,117.9,42.2,88.8,0.475,16,42.6,0.377,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8
Oklahoma City Thunder,82,48.4,117.5,43.1,92.6,0.465,12.1,34.1,0.356,19.2,23.7,0.809,11.4,32.3,43.6,24.4,8.2,4.2,13,21
Los Angeles Lakers,82,48.5,117.2,42.9,89,0.482,10.8,31.2,0.346,20.6,26.6,0.775,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9
Utah Jazz,82,48.3,117.1,42.5,89.8,0.473,13.3,37.8,0.353,18.7,23.8,0.786,11.8,34.1,45.9,26,6.1,5.2,15.3,20.5
Milwaukee Buck,82,48.4,116.9,42.7,90.4,0.473,14.8,40.3,0.368,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1
Memphis Grizzlies,82,48.2,116.9,43.7,92.1,0.475,12,34.2,0.351,17.5,23.8,0.733,12,34.6,46.6,26,8.3,5.8,13.6,20
Indiana Pacers,82,48.2,116.3,42,89.6,0.469,13.6,37,0.367,18.7,23.7,0.79,10.1,31.4,41.5,27,7.7,5.8,14.9,21.2
New York Knicks,82,48.7,116,42,89.4,0.47,12.6,35.7,0.354,19.4,25.5,0.761,12.6,34,46.6,22.9,6.4,4.1,13,20.3
Denver Nuggets,82,48.2,115.8,43.6,86.4,0.504,11.8,31.2,0.379,16.8,22.4,0.751,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6
Minnesota Timberwolves,82,48.4,115.8,42.9,87.4,0.49,12.2,33.3,0.365,17.9,23.7,0.755,9.1,32.8,41.9,26.2,8,5.4,15.3,21.6
Philadelphia 76ers,82,48.5,115.2,40.8,83.8,0.487,12.6,32.6,0.387,21,25.1,0.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4
New Orleans Pelicans,82,48.4,114.4,42,87.6,0.48,11,30.1,0.364,19.3,24.4,0.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5
Dallas Mavericks,82,48.6,114.2,40,84.3,0.475,15.2,41,0.371,19,25.1,0.755,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7
Phoenix Suns,82,48.2,113.6,42.1,90.1,0.467,12.2,32.6,0.374,17.2,21.7,0.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2
LA Clippers,82,48.4,113.6,41.1,86.1,0.477,12.7,33.4,0.381,18.7,23.9,0.781,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5
Portland Trail Blazers,82,48.1,113.4,40.5,85.4,0.474,12.9,35.3,0.365,19.6,24.6,0.796,9.4,31.1,40.5,24.2,6.7,4.6,14.4,20
Brooklyn Nets,82,48.1,113.4,41.5,85.1,0.487,12.8,33.8,0.378,17.7,22.1,0.8,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1
Washington Wizards,82,48.2,113.2,42.1,86.9,0.485,11.3,31.7,0.356,17.6,22.4,0.785,9.4,34.2,43.6,25.4,6.8,5.2,14.1,18.8
Chicago Bulls,82,48.5,113.1,42.5,86.8,0.49,10.4,28.9,0.361,17.6,21.8,0.809,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9
San Antonio Spurs,82,48.4,113,43.1,92.6,0.465,11.1,32.2,0.345,15.8,21.2,0.743,11.8,31.9,43.7,27.2,7,3.9,15.3,19.9
Toronto Raptors,82,48.3,112.9,41.9,91.3,0.459,10.7,32,0.335,18.4,23.4,0.784,12.7,30.3,43,23.9,9.4,5.2,11.7,20
Cleveland Cavaliers,82,48.5,112.3,41.6,85.2,0.488,11.6,31.6,0.367,17.5,22.5,0.78,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19
Orlando Magic,82,48.2,111.4,40.5,86.3,0.47,10.8,31.1,0.346,19.6,25,0.784,10.2,33.1,43.2,23.2,7.4,4.7,15.1,20.1
Charlotte Hornets,82,48.4,111,41.3,90.4,0.457,10.7,32.5,0.33,17.6,23.6,0.749,11,33.5,44.5,25.1,7.7,5.2,14.2,20.3
Houston Rockets,82,48.2,110.7,40.6,88.9,0.457,10.4,31.9,0.327,19.1,25.3,0.754,13.4,32.9,46.3,22.4,7.3,4.6,16.2,20.5
Detroit Pistons,82,48.3,110.3,39.6,87.1,0.454,11.4,32.4,0.351,19.8,25.7,0.771,11.2,31.3,42.4,23,7,3.8,15.1,22.1
Miami Heat,82,48.3,109.5,39.2,85.3,0.46,12,34.8,0.344,19.1,23,0.831,9.7,30.9,40.6,23.8,8,3,13.5,18.5
